,Longitude,Latitude,Booster_No,Booster_PropMass,Booster_StageMass,Stage1_PropMass,Stage1_StageMass,Stage2_PropMass,Stage2_StageMass,Stage3_PropMass,Stage3_StageMass,Stage4_PropMass,Stage4_StageMass,Fairing_Mass,H2O,H2,CO,CO2,BC,NOx,AI203,Cly
0,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
1,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
2,111.5,37.8,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
3,100.3,41.3,0,0.0,0.0,16000.0,621.0,8000.0,686.0,3000.0,183.0,1000.0,200.0,1756.0,8546000.0,679000.0,6198000.0,3174000.0,448000.0,10000.0,8856000.0,5859000.0
4,-52.8,5.2,2,480000.0,31000.0,170000.0,14700.0,14900.0,4540.0,0.0,0.0,0.0,0.0,2675.0,340584200.0,18471500.0,108960000.0,53760000.0,7680000.0,0.0,157440000.0,104160000.0
5,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
6,177.8655,-39.2609,0,0.0,0.0,9250.0,950.0,2100.0,250.0,245.0,40.0,0.0,0.0,44.0,3955040.0,114480.0,3626205.0,7266700.0,253620.0,2450.0,0.0,0.0
7,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
8,130.6,30.4,2,130000.0,21000.0,101100.0,12900.0,16900.0,3100.0,0.0,0.0,0.0,0.0,1400.0,164104000.0,7380000.0,29510000.0,14560000.0,2080000.0,0.0,42640000.0,28210000.0
9,53.920601,35.234338,0,0.0,0.0,63000.0,12700.0,8000.0,1600.0,185.0,230.0,0.0,0.0,120.0,27887870.0,288625.0,4940995.0,10670720.0,1138960.0,710000.0,60680.0,40145.0
10,-81.0,28.5,1,42630.0,3630.0,284089.0,21054.0,20800.0,2030.0,0.0,0.0,0.0,0.0,2305.0,131470920.0,4634640.0,100017312.0,185739253.0,6932038.0,0.0,13982640.0,9250710.0
11,-75.46,37.85,0,0.0,0.0,242200.0,19700.0,24924.0,1392.0,0.0,0.0,0.0,0.0,971.0,89875048.0,3045100.0,82677348.0,157072888.0,5727184.0,0.0,8175072.0,5408508.0
12,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
13,-52.8,5.2,2,480000.0,31000.0,170000.0,14700.0,14900.0,4540.0,0.0,0.0,0.0,0.0,2675.0,340584200.0,18471500.0,108960000.0,53760000.0,7680000.0,0.0,157440000.0,104160000.0
14,102.0,28.2,0,0.0,0.0,182000.0,9500.0,52700.0,4000.0,0.0,0.0,0.0,0.0,750.0,92002400.0,938800.0,16194300.0,35205000.0,3755200.0,2347000.0,0.0,0.0
15,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,22790.0,2410.0,5750.0,960.0,0.0,0.0,1800.0,93894200.0,2718300.0,86107290.0,172553110.0,6021660.0,57500.0,0.0,0.0
16,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
17,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
18,111.0,19.6,4,301000.0,24000.0,174000.0,12250.0,65000.0,5750.0,18200.0,2740.0,0.0,0.0,2500.0,202855600.0,6037000.0,171720000.0,343980000.0,11880000.0,0.0,0.0,0.0
19,40.6,62.8,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
20,-81.0,28.5,0,0.0,0.0,414850.0,24700.0,109500.0,4250.0,0.0,0.0,0.0,0.0,1875.0,178279000.0,5243500.0,166743300.0,334010950.0,11535700.0,0.0,0.0,0.0
21,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,25400.0,2355.0,5750.0,960.0,0.0,0.0,1800.0,94781600.0,2744400.0,86937270.0,174215680.0,6079080.0,57500.0,0.0,0.0
22,102.0,28.2,0,0.0,0.0,162706.0,10000.0,54667.0,4000.0,0.0,0.0,0.0,0.0,800.0,85210216.0,869492.0,14998737.0,32605950.0,3477968.0,2173730.0,0.0,0.0
23,-81.0,28.5,5,213150.0,18150.0,284089.0,21351.0,20800.0,2030.0,0.0,0.0,0.0,0.0,3524.0,182967960.0,8897640.0,138725352.0,204837493.0,9660358.0,0.0,69913200.0,46253550.0
24,63.4,45.6,4,156640.0,15136.0,90100.0,6545.0,22790.0,2410.0,0.0,0.0,0.0,0.0,1000.0,91640200.0,2695300.0,85710540.0,171690610.0,5929660.0,0.0,0.0,0.0
25,102.0,28.2,4,164400.0,14200.0,186200.0,11200.0,41000.0,3924.0,18196.5,2770.0,0.0,0.0,1500.0,172759097.0,2203277.5,27020400.0,58740000.0,6265600.0,3916000.0,0.0,0.0
26,55.333,36.201,0,0.0,0.0,14400.0,2700.0,1500.0,200.0,398.0,133.33333333333334,0.0,0.0,100.0,4921996.0,407450.0,3699646.0,1825376.0,260768.0,0.0,5345744.0,3536666.0
