,launches,COSPAR_ID,Time(UTC),Date,Longitude,Latitude,Rocket_Name,DISCOSweb_Rocket_ID,Megaconstellation_Flag,Booster_No,Booster_PropMass,Booster_Fuel_Type,Booster_StageMass,Stage1_PropMass,Stage1_Fuel_Type,Stage1_StageMass,Stage2_PropMass,Stage2_Fuel_Type,Stage2_StageMass,Stage3_PropMass,Stage3_Fuel_Type,Stage3_StageMass,Stage4_PropMass,Stage4_Fuel_Type,Stage4_StageMass,Fairing_Mass,Proxy_Rocket
0,0,2020-001,2.4,20200107,-81.0,28.5,Falcon 9 v1.2,284,True,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,
1,1,2020-002,15.36,20200107,102.0,28.2,Long March (CZ) 3B,64,False,4,164400.0,Hypergolic,14200.0,186200.0,Hypergolic,11200.0,41000.0,Hypergolic,3924.0,18196.5,Hydrogen,2770.0,0.0,,0.0,1500.0,
2,2,2020-003,2.88,20200115,111.5,37.8,Long March (CZ) 2D,158,False,0,0.0,,0.0,182000.0,Hypergolic,9500.0,52700.0,Hypergolic,4000.0,0.0,,0.0,0.0,,0.0,750.0,
3,3,2020-004,3.12,20200116,100.3,41.3,Kuaizhou-1,91718,True,0,0.0,,0.0,16000.0,Solid,621.0,8000.0,Solid,686.0,3000.0,Solid,183.0,1000.0,Hypergolic,200.0,1756.0,
4,4,2020-005,21.12,20200116,-52.8,5.2,Ariane 5ECA,204,False,2,480000.0,Solid,31000.0,170000.0,Hydrogen,14700.0,14900.0,Hydrogen,4540.0,0.0,,0.0,0.0,,0.0,2675.0,
5,5,2020-006,14.16,20200129,-81.0,28.5,Falcon 9 v1.2,284,True,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,
6,6,2020-007,2.88,20200131,177.8655,-39.2609,Electron (Curie),91285,False,0,0.0,,0.0,9250.0,Kerosene,950.0,2100.0,Kerosene,250.0,245.0,Hypergolic,40.0,0.0,,0.0,44.0,
7,7,2020-008,21.6,20200206,63.4,45.6,Soyuz-2-1B Fregat-M,10,True,4,156640.0,Kerosene,15136.0,90100.0,Kerosene,6545.0,25400.0,Kerosene,2355.0,5750.0,Hypergolic,960.0,0.0,,0.0,1800.0,
8,8,2020-009,1.68,20200209,130.6,30.4,H-IIA 202,190,False,2,130000.0,Solid,21000.0,101100.0,Hydrogen,12900.0,16900.0,Hydrogen,3100.0,0.0,,0.0,0.0,,0.0,1400.0,
9,9,2020-F01,15.84,20200209,53.920601,35.234338,Simorgh,88324,False,0,0.0,,0.0,63000.0,Hypergolic,12700.0,8000.0,Hypergolic,1600.0,185.0,Solid,230.0,0.0,,0.0,120.0,
10,10,2020-010,4.08,20200210,-81.0,28.5,Atlas V 411,208,False,1,42630.0,Solid,3630.0,284089.0,Kerosene,21054.0,20800.0,Hydrogen,2030.0,0.0,,0.0,0.0,,0.0,2305.0,
11,11,2020-011,20.4,20200215,-75.46,37.85,Antares 230,278,False,0,0.0,,0.0,242200.0,Kerosene,19700.0,24924.0,Solid,1392.0,0.0,,0.0,0.0,,0.0,971.0,
12,12,2020-012,15.120000000000001,20200217,-81.0,28.5,Falcon 9 v1.2,284,True,0,0.0,,0.0,414850.0,Kerosene,24700.0,109500.0,Kerosene,4250.0,0.0,,0.0,0.0,,0.0,1875.0,
