,LABEL,Latitude,Longitude ,Type,Total Mass (kg),NOx from re-entry (kg)
0,N,7.823,54.164,Rocket body,5500.0,5500.0
1,N,-43.753,-179.976,Payload,1900.0,1900.0
2,N,-1.205,89.746,Rocket body,4500.0,4500.0
3,N,28.246,102.027,Rocket body,29400.0,14700.0
4,Y,34.632,-120.611,Rocket body,27200.0,4760.0
5,N,35.238,53.951,Rocket body,14300.0,14300.0
6,N,-37.629,-179.991,Payload,910.0,910.0
7,N,-45.994,38.681,Rocket body,920.0,920.0
8,N,31.251,131.082,Rocket body,11500.0,11500.0
9,N,34.582,-120.626,Rocket body,84000.0,84000.0
10,N,27.819,-113.503,Rocket body,2740.0,2740.0
11,N,40.961,100.298,Rocket body,7270.0,7270.0
12,N,-70.307,-164.132,Payload,689.0,689.0
13,N,13.72,80.23,Rocket body,35400.0,35400.0
14,N,72.462,74.34,Rocket body,2000.0,2000.0
15,N,47.918,15.971,Rocket body,250.0,250.0
16,N,-77.717,-77.425,Rocket body,3200.0,3200.0
17,N,35.234,53.921,Rocket body,3850.0,1925.0
18,N,-27.745,156.759,Rocket body,1050.0,1050.0
19,N,5.239,-52.769,Rocket body,90000.0,90000.0
20,N,45.996,63.564,Rocket body,6550.0,6550.0
21,Y,28.41,-80.61,Rocket body,27200.0,4760.0
22,N,0.128,-136.554,Rocket body,1700.0,1700.0
23,N,5.301,-52.837,Rocket body,6550.0,6550.0
24,Y,28.41,-80.61,Rocket body,27200.0,4760.0
25,N,33.2449,3.017,Payload,1000.0,1000.0
26,N,17.766,32.196,Payload,594.0,594.0
27,N,35.839,103.55,Rocket body,250.0,250.0
28,Y,27.564,-76.419,Payload,12525.0,2191.875
29,N,28.247,102.029,Rocket body,29400.0,14700.0
30,N,11.29,-5.785,Rocket body,2740.0,2740.0
31,N,7.126,20.933,Debris,535.0,535.0
32,N,-79.729,-171.02,Payload,689.0,689.0
33,N,74.806,-169.262,Payload,689.0,689.0
34,N,-36.507,152.769,Debris,3200.0,3200.0
35,N,13.35,82.808,Payload,689.0,689.0
36,N,45.92,63.342,Rocket body,6550.0,6550.0
37,N,-50.887,72.261,Payload,689.0,689.0
38,N,28.531,-80.565,Rocket body,28000.0,28000.0
39,N,52.122,-49.731,Payload,689.0,689.0
40,N,-41.949,7.222,Rocket body,2400.0,2400.0
41,N,5.236,-52.775,Rocket body,10550.0,10550.0
42,N,-45.994,151.011,Rocket body,1050.0,1050.0
43,N,74.527,-91.567,Payload,689.0,689.0
44,N,40.961,100.298,Rocket body,1010.0,505.0
45,N,-39.251,177.867,Rocket body,950.0,950.0
46,N,-42.21,64.527,Payload,689.0,689.0
47,N,28.246,102.027,Rocket body,29400.0,14700.0
48,N,13.72,80.23,Rocket body,35400.0,35400.0
49,N,8.867,-4.379,Payload,689.0,689.0
50,N,45.996,63.564,Rocket body,6550.0,6550.0
51,N,5.301,-52.837,Rocket body,6550.0,6550.0
52,N,-20.855,-104.926,Rocket body,2500.0,2500.0
53,N,-26.958,23.043,Rocket body,1000.0,1000.0
54,N,-46.481,-154.496,Payload,689.0,689.0
55,N,47.594,-113.012,Debris,2370.0,2370.0
56,Y,28.486,-80.544,Rocket body,51000.0,8925.0
57,N,-19.867,178.433,Rocket body,4500.0,4500.0
58,N,-1.293,60.66,Rocket body,250.0,250.0
59,N,37.833,-75.488,Rocket body,20600.0,20600.0
60,N,28.247,102.029,Rocket body,29400.0,14700.0
61,N,-21.838,10.386,Rocket body,2100.0,2100.0
62,N,17.417,64.527,Rocket body,2500.0,2500.0
63,N,38.863,111.589,Rocket body,13500.0,13500.0
64,N,55.244,-146.059,Rocket body,3200.0,3200.0
65,Y,28.41,-80.61,Rocket body,27200.0,4760.0
66,N,-39.251,177.867,Rocket body,950.0,950.0
67,N,-6.901,-116.879,Debris,535.0,535.0
68,N,25.268,-156.606,Debris,2370.0,2370.0
69,N,43.405,78.729,Payload,689.0,689.0
70,N,-22.817,99.471,Payload,689.0,689.0
71,N,4.324,-172.287,Rocket body,5000.0,5000.0
72,N,-63.5,92.44,Rocket body,2400.0,2400.0
73,N,28.246,102.027,Rocket body,21600.0,21600.0
74,N,-13.134,-139.943,Rocket body,250.0,250.0
75,N,13.72,80.23,Rocket body,35400.0,35400.0
76,N,38.863,111.589,Rocket body,13500.0,13500.0
77,Y,28.41,-80.61,Rocket body,27200.0,4760.0
78,N,62.929,40.457,Rocket body,6550.0,6550.0
79,N,22.37,-70.685,Rocket body,65.0,65.0
80,N,46.04,63.032,Rocket body,41600.0,41600.0
81,N,34.9,121.19,Rocket body,7270.0,7270.0
82,N,-19.871,-80.178,Rocket body,65.0,65.0
83,Y,34.633,-120.613,Rocket body,27200.0,4760.0
84,N,6.074,-41.857,Debris,535.0,535.0
85,N,5.239,-52.769,Rocket body,90000.0,90000.0
86,N,28.247,102.029,Rocket body,29400.0,14700.0
87,Y,47.416,69.585,Payload,7080.0,1239.0
88,Y,28.486,-80.544,Rocket body,51000.0,8925.0
89,N,-39.251,177.867,Rocket body,950.0,950.0
90,N,-15.179,-64.709,Debris,2370.0,2370.0
91,N,17.748,-37.99,Rocket body,2740.0,2740.0
92,N,27.469,32.674,Rocket body,250.0,250.0
93,N,-52.373,91.174,Rocket body,2740.0,2740.0
94,N,51.885,128.335,Rocket body,6550.0,6550.0
95,N,62.929,40.457,Rocket body,4900.0,4900.0
