,Latitude,Longitude ,Total Mass (kg),NOx from re-entry (kg)
0,7.823,54.164,5500.0,5500.0
1,-43.753,-179.976,1900.0,1900.0
2,-1.205,89.746,4500.0,4500.0
3,28.246,102.027,29400.0,14700.0
4,34.632,-120.611,27200.0,4760.0
5,35.238,53.951,14300.0,14300.0
6,-37.629,-179.991,910.0,910.0
7,-45.994,38.681,920.0,920.0
8,31.251,131.082,11500.0,11500.0
9,34.582,-120.626,84000.0,84000.0
10,27.819,-113.503,2740.0,2740.0
11,40.961,100.298,7270.0,7270.0
12,-70.307,-164.132,689.0,689.0
13,13.72,80.23,35400.0,35400.0
14,72.462,74.34,2000.0,2000.0
15,47.918,15.971,250.0,250.0
16,-77.717,-77.425,3200.0,3200.0
17,35.234,53.921,3850.0,1925.0
18,-27.745,156.759,1050.0,1050.0
19,5.239,-52.769,90000.0,90000.0
20,45.996,63.564,6550.0,6550.0
21,28.41,-80.61,27200.0,4760.0
22,0.128,-136.554,1700.0,1700.0
23,5.301,-52.837,6550.0,6550.0
24,28.41,-80.61,27200.0,4760.0
25,33.2449,3.017,1000.0,1000.0
26,17.766,32.196,594.0,594.0
27,35.839,103.55,250.0,250.0
28,27.564,-76.419,12525.0,2191.875
29,28.247,102.029,29400.0,14700.0
30,11.29,-5.785,2740.0,2740.0
31,7.126,20.933,535.0,535.0
32,-79.729,-171.02,689.0,689.0
33,74.806,-169.262,689.0,689.0
34,-36.507,152.769,3200.0,3200.0
35,13.35,82.808,689.0,689.0
36,45.92,63.342,6550.0,6550.0
37,-50.887,72.261,689.0,689.0
38,28.531,-80.565,28000.0,28000.0
39,52.122,-49.731,689.0,689.0
40,-41.949,7.222,2400.0,2400.0
41,5.236,-52.775,10550.0,10550.0
42,-45.994,151.011,1050.0,1050.0
43,74.527,-91.567,689.0,689.0
44,40.961,100.298,1010.0,505.0
45,-39.251,177.867,950.0,950.0
46,-42.21,64.527,689.0,689.0
47,28.246,102.027,29400.0,14700.0
48,13.72,80.23,35400.0,35400.0
49,8.867,-4.379,689.0,689.0
50,45.996,63.564,6550.0,6550.0
51,5.301,-52.837,6550.0,6550.0
52,-20.855,-104.926,2500.0,2500.0
53,-26.958,23.043,1000.0,1000.0
54,-46.481,-154.496,689.0,689.0
55,47.594,-113.012,2370.0,2370.0
56,28.486,-80.544,51000.0,8925.0
57,-19.867,178.433,4500.0,4500.0
58,-1.293,60.66,250.0,250.0
59,37.833,-75.488,20600.0,20600.0
60,28.247,102.029,29400.0,14700.0
61,-21.838,10.386,2100.0,2100.0
62,17.417,64.527,2500.0,2500.0
63,38.863,111.589,13500.0,13500.0
64,55.244,-146.059,3200.0,3200.0
65,28.41,-80.61,27200.0,4760.0
66,-39.251,177.867,950.0,950.0
67,-6.901,-116.879,535.0,535.0
68,25.268,-156.606,2370.0,2370.0
69,43.405,78.729,689.0,689.0
70,-22.817,99.471,689.0,689.0
71,4.324,-172.287,5000.0,5000.0
72,-63.5,92.44,2400.0,2400.0
73,28.246,102.027,21600.0,21600.0
74,-13.134,-139.943,250.0,250.0
75,13.72,80.23,35400.0,35400.0
76,38.863,111.589,13500.0,13500.0
77,28.41,-80.61,27200.0,4760.0
