Launch details,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Time (UTC),Day,Month ,Year,Latitude,Longitude ,Launch location,Rocket Type,Booster fuel type,Stage 1 fuel type,Stage 2 fuel type,Stage 3 fuel type,Stage 4 fuel type,"Boosters mass (each, kg) ","Boosters mass (total, kg)",Stage 1 mass (kg),Stage 2 mass (kg),Stage 3 mass (kg),Stage 4 mass (kg),Kerosene mass (kg),Hydrogen mass (kg),Hypergolic mass (kg),Solid fuel mass (kg),Total Cl mass (kg),
17.083,10,1,2019,28.246,102.027,Xichang,CZ-3B/G3,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
15.517,11,1,2019,34.632,-120.611,Vandenberg,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
0.833,18,1,2019,31.251,131.082,Kagoshima,Epsilon (2) CLPS,n/a,Solid (HTPB),Solid (HTPB),Solid (HTPB),Hypergolic,0,0,66000,15000,2500,145,0,0,145,83500,185,
19.083,19,1,2019,34.582,-120.626,Vandenberg,Delta-4H (upg.),2 x Hydrogen  ,Hydrogen  ,Hydrogen  ,n/a,n/a,204000,408000,204000,27200,0,0,0,639200,0,0,0,
5.700,21,1,2019,40.961,100.298,Jiuquan,CZ-11,n/a,Solid,Solid,Solid,Solid ,0,0,35000,10000,4050,220,0,0,0,49270,98,
18.117,24,1,2019,13.720,80.230,Sriharikota,PSLV-DL,2 x Solid (HTPB),Solid (HTPB),Hypergolic,Solid (HTPB),Hypergolic,12000,24000,138000,41500,7600,2500,0,0,44000,169600,454,
21.017,5,2,2019,5.239,-52.769,Kourou,Ariane-5ECA,2 x Solid (HTPB),Hydrogen,Hydrogen,n/a,n/a,240000,480000,175000,14900,0,0,0,189900,0,480000,1344,
16.783,21,2,2019,45.996,63.564,Baikonur,Soyuz-2-1b Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
1.750,22,2,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
21.617,27,2,2019,5.301,-52.837,Kourou,Soyuz-ST-B Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
7.817,2,3,2019,28.608,-80.604,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
17.467,9,3,2019,28.246,102.027,Xichang,CZ-3B/G3,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
19.233,14,3,2019,45.920,63.342,Baikonur,Soyuz-FG,4 x Kerosene,,Kerosene,Kerosene,n/a,39600,158400,0,92950,22830,0,274180,0,0,0,0,
0.433,16,3,2019,28.531,-80.565,Cape Canaveral,"Delta-4M+(5,4) (upg.)",4 x Solid (HTPB),Hydrogen  ,Hydrogen  ,n/a,n/a,29700,118800,204000,27200,0,0,0,231200,0,118800,332.64,
1.833,22,3,2019,5.236,-52.775,Kourou,Vega,n/a,Solid (HTPB),Solid (HTPB),Solid (HTPB),Hypergolic,0,0,88365,23900,10115,550,0,0,550,122380,247.422,
23.450,28,3,2019,-39.251,177.867,Mahia,Electron KS,n/a,Kerosene,Kerosene,n/a,n/a,0,0,9250,2050,0,0,11300,0,0,0,0,
15.833,31,3,2019,28.246,102.027,Xichang,CZ-3B/G3,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
3.950,1,4,2019,13.720,80.230,Sriharikota,PSLV-QL,4 x Solid (HTPB),Solid (HTPB),Hypergolic,Solid (HTPB),Hypergolic,12000,48000,138000,41500,7600,2500,0,0,44000,193600,520.8,
11.017,4,4,2019,45.996,63.564,Baikonur,Soyuz-2-1a,4 x Kerosene,n/a,Kerosene,Kerosene,n/a,39600,158400,0,92950,22830,0,274180,0,0,0,0,
17.050,4,4,2019,5.301,-52.837,Kourou,Soyuz-ST-B Fregat-MT,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
22.583,11,4,2019,28.608,-80.604,Cape Canaveral,Falcon-Heavy (Block 5),2 x Kerosene,Kerosene,Kerosene,n/a,n/a,407600,815200,407600,107200,0,0,1330000,0,0,0,0,
20.767,17,4,2019,37.833,-75.488,Wallops Island,Antares-230,n/a,Kerosene,TP-H8299Al,n/a,n/a,0,0,242000,24200,0,0,242000,0,0,24200,0,
14.683,20,4,2019,28.246,102.027,Xichang,CZ-3B/G3,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
22.867,29,4,2019,38.863,111.589,Taiyuan,CZ-4B,n/a,Hypergolic,Hypergolic,Hypergolic,n/a,0,0,183200,35550,14000,0,0,0,232750,0,0,
6.800,4,5,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
6.000,5,5,2019,-39.251,177.867,Mahia,Electron KS,n/a,Kerosene,Kerosene,n/a,n/a,0,0,9250,2050,0,0,11300,0,0,0,0,
15.800,17,5,2019,28.246,102.027,Xichang,CZ-3C/G2,2 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,82200,186200,32600,18200,0,0,18200,301000,0,0,
0.000,22,5,2019,13.720,80.230,Sriharikota,PSLV-CA,n/a,Solid (HTPB),Hypergolic,Solid (HTPB),Hypergolic,0,0,138000,41500,7600,2500,0,0,44000,145600,386.4,
2.500,24,5,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
6.383,27,5,2019,62.929,40.457,Plesetsk,Soyuz-2-1b Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
17.700,30,5,2019,46.040,63.032,Baikonur,Proton-M Briz-M (Ph.3),n/a,Hypergolic,Hypergolic,Hypergolic,Hypergolic,0,0,428300,157300,46562,19800,0,0,651962,0,0,
4.100,5,6,2019,34.900,121.190,Yellow Sea,CZ-11H,n/a,Solid,Solid,Solid ,Solid ,0,0,35000,10000,4050,220,0,0,0,49270,98,
14.283,12,6,2019,34.632,-120.611,Vandenberg,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
21.717,20,6,2019,5.239,-52.769,Kourou,Ariane-5ECA,"2 x AP, Al, Solid (HTPB)",Hydrogen,Hydrogen,n/a,n/a,240000,480000,175000,14900,0,0,0,189900,0,480000,672,
18.150,24,6,2019,28.246,102.027,Xichang,CZ-3B/G3,4 x Hypergolic,Hypergolic,Hypergolic,Hydrogen,n/a,41100,164400,186200,32600,18200,0,0,18200,383200,0,0,
6.500,25,6,2019,28.608,-80.604,Cape Canaveral,Falcon-Heavy (Block 5),2 x Kerosene,Kerosene,Kerosene,n/a,n/a,407600,815200,407600,107200,0,0,1330000,0,0,0,0,
4.500,29,6,2019,-39.251,177.867,Mahia,Electron KS,n/a,Kerosene,Kerosene,n/a,n/a,0,0,9250,2050,0,0,11300,0,0,0,0,
5.683,5,7,2019,51.885,128.335,Vostochny,Soyuz-2-1b Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
17.233,10,7,2019,62.929,40.457,Plesetsk,Soyuz-2-1v Volga,n/a,Kerosene,Kerosene,Hypergolic,n/a,0,0,119000,22830,900,0,141830,0,900,0,0,
12.517,13,7,2019,46.071,62.985,Baikonur,Proton-M Blok-DM-03,n/a,Hypergolic,Hypergolic,Hypergolic,Kerosene,0,0,428300,157300,46562,18800,18800,0,632162,0,0,
16.467,20,7,2019,45.920,63.342,Baikonur,Soyuz-FG,4 x Kerosene,n/a,Kerosene,Kerosene,n/a,39600,158400,0,92950,22830,0,274180,0,0,0,0,
9.217,22,7,2019,13.720,80.230,Sriharikota,GSLV Mk.3 (2),2 x Solid (HTPB),Hypergolic,Hydrogen,n/a,n/a,206690,413380,115000,25000,0,0,0,25000,115000,413380,1157.464,
5.000,25,7,2019,40.968,100.279,Jiuquan,Hyperbola-1 (Shian Quxian-1),n/a,Solid,Solid,Solid,Liquid,0,0,20100,5400,2300,125,0,0,0,27800,56.28,
22.033,25,7,2019,28.562,-80.577,Cape Canaveral,Falcon-9 v1.2 (Block 5),n/a,Kerosene,Kerosene,n/a,n/a,0,0,418700,111500,0,0,530200,0,0,0,0,
3.950,26,7,2019,28.247,102.029,Xichang,CZ-2C (3),n/a,Hypergolic,Hypergolic,n/a,n/a,0,0,143000,35000,0,0,0,0,178000,0,0,
5.933,30,7,2019,62.929,40.457,Plesetsk,Soyuz-2-1a Fregat-M,4 x Kerosene,n/a,Kerosene,Kerosene,Hypergolic,39600,158400,0,92950,22830,5350,274180,0,5350,0,0,
12.183,31,7,2019,45.996,63.564,Baikonur,Soyuz-2-1a,4 x Kerosene,n/a,Kerosene,Kerosene,n/a,39600,158400,0,92950,22830,0,274180,0,0,0,0,
21.933,6,8,2019,46.071,62.985,Baikonur,Proton-M Briz-M (Ph.3),n/a,Hypergolic,Hypergolic,Hypergolic,Hypergolic,0,0,428300,157300,46562,19800,0,0,651962,0,0,
19.500,6,8,2019,5.239,-52.769,Kourou,Ariane-5ECA+,2 x Solid (HTPB),Hydrogen,Hydrogen,n/a,n/a,240000,480000,175000,15260,0,0,0,190260,0,480000,1344,
