,Class,Launch_Date,LV_Type,price_per_kg,max_mass
22,Medium,1958-09-23,Vostok,8600.0,4717.0
25,Medium,1958-10-11,Vostok,8600.0,4717.0
28,Medium,1958-12-04,Vostok,8600.0,4717.0
31,Medium,1959-01-02,Vostok,8600.0,4717.0
41,Medium,1959-06-18,Vostok,8600.0,4717.0
52,Medium,1959-09-12,Vostok,8600.0,4717.0
55,Medium,1959-10-04,Vostok,8600.0,4717.0
74,Medium,1960-04-15,Vostok,8600.0,4717.0
78,Medium,1960-04-16,Vostok,8600.0,4717.0
80,Medium,1960-05-15,Vostok,8600.0,4717.0
86,Medium,1960-07-28,Vostok,8600.0,4717.0
95,Medium,1960-08-19,Vostok,8600.0,4717.0
102,Medium,1960-10-10,Molniya,15700.0,3700.0
105,Medium,1960-10-14,Molniya,15700.0,3700.0
118,Medium,1960-12-01,Vostok,8600.0,4717.0
119,Small,1960-12-04,Scout,118500.0,122.0
125,Medium,1960-12-22,Vostok,8600.0,4717.0
128,Medium,1961-02-04,Molniya,15700.0,3700.0
129,Medium,1961-02-12,Molniya,15700.0,3700.0
130,Small,1961-02-16,Scout,118500.0,122.0
138,Medium,1961-03-09,Vostok,8600.0,4717.0
139,Medium,1961-03-25,Vostok,8600.0,4717.0
147,Medium,1961-04-12,Vostok,8600.0,4717.0
161,Small,1961-06-30,Scout,118500.0,122.0
176,Medium,1961-08-06,Vostok,8600.0,4717.0
179,Small,1961-08-25,Scout,118500.0,122.0
205,Small,1961-10-27,Kosmos,14900.0,1500.0
219,Medium,1961-12-11,Vostok,8600.0,4717.0
226,Small,1961-12-21,Kosmos,14900.0,1500.0
250,Small,1962-03-16,Kosmos,14900.0,1500.0
251,Small,1962-04-06,Kosmos,14900.0,1500.0
261,Small,1962-04-24,Kosmos,14900.0,1500.0
262,Medium,1962-04-26,Vostok,8600.0,4717.0
263,Small,1962-04-26,Scout,118500.0,122.0
274,Small,1962-05-24,Scout,118500.0,122.0
277,Small,1962-05-28,Kosmos,14900.0,1500.0
281,Medium,1962-06-01,Vostok,8600.0,4717.0
297,Small,1962-06-30,Kosmos,14900.0,1500.0
308,Medium,1962-07-28,Vostok,8600.0,4717.0
