,Class,Launch_Date,LV_Type,price_per_kg,max_mass
22,Medium,1958-09-23,Vostok,0.040249433106575964,0.0721599296460316
25,Medium,1958-10-11,Vostok,0.040249433106575964,0.0721599296460316
28,Medium,1958-12-04,Vostok,0.040249433106575964,0.0721599296460316
31,Medium,1959-01-02,Vostok,0.040249433106575964,0.0721599296460316
41,Medium,1959-06-18,Vostok,0.040249433106575964,0.0721599296460316
52,Medium,1959-09-12,Vostok,0.040249433106575964,0.0721599296460316
55,Medium,1959-10-04,Vostok,0.040249433106575964,0.0721599296460316
74,Medium,1960-04-15,Vostok,0.040249433106575964,0.0721599296460316
78,Medium,1960-04-16,Vostok,0.040249433106575964,0.0721599296460316
80,Medium,1960-05-15,Vostok,0.040249433106575964,0.0721599296460316
86,Medium,1960-07-28,Vostok,0.040249433106575964,0.0721599296460316
95,Medium,1960-08-19,Vostok,0.040249433106575964,0.0721599296460316
102,Medium,1960-10-10,Molniya,0.08049886621315193,0.056188950657998046
105,Medium,1960-10-14,Molniya,0.08049886621315193,0.056188950657998046
118,Medium,1960-12-01,Vostok,0.040249433106575964,0.0721599296460316
119,Small,1960-12-04,Scout,0.663265306122449,0.0
125,Medium,1960-12-22,Vostok,0.040249433106575964,0.0721599296460316
128,Medium,1961-02-04,Molniya,0.08049886621315193,0.056188950657998046
129,Medium,1961-02-12,Molniya,0.08049886621315193,0.056188950657998046
130,Small,1961-02-16,Scout,0.663265306122449,0.0
138,Medium,1961-03-09,Vostok,0.040249433106575964,0.0721599296460316
139,Medium,1961-03-25,Vostok,0.040249433106575964,0.0721599296460316
147,Medium,1961-04-12,Vostok,0.040249433106575964,0.0721599296460316
161,Small,1961-06-30,Scout,0.663265306122449,0.0
176,Medium,1961-08-06,Vostok,0.040249433106575964,0.0721599296460316
179,Small,1961-08-25,Scout,0.663265306122449,0.0
205,Small,1961-10-27,Kosmos,0.07596371882086168,0.021640126888407298
219,Medium,1961-12-11,Vostok,0.040249433106575964,0.0721599296460316
226,Small,1961-12-21,Kosmos,0.07596371882086168,0.021640126888407298
250,Small,1962-03-16,Kosmos,0.07596371882086168,0.021640126888407298
251,Small,1962-04-06,Kosmos,0.07596371882086168,0.021640126888407298
261,Small,1962-04-24,Kosmos,0.07596371882086168,0.021640126888407298
262,Medium,1962-04-26,Vostok,0.040249433106575964,0.0721599296460316
263,Small,1962-04-26,Scout,0.663265306122449,0.0
274,Small,1962-05-24,Scout,0.663265306122449,0.0
277,Small,1962-05-28,Kosmos,0.07596371882086168,0.021640126888407298
281,Medium,1962-06-01,Vostok,0.040249433106575964,0.0721599296460316
297,Small,1962-06-30,Kosmos,0.07596371882086168,0.021640126888407298
308,Medium,1962-07-28,Vostok,0.040249433106575964,0.0721599296460316
314,Medium,1962-08-11,Vostok,0.040249433106575964,0.0721599296460316
315,Medium,1962-08-12,Vostok,0.040249433106575964,0.0721599296460316
316,Small,1962-08-18,Kosmos,0.07596371882086168,0.021640126888407298
317,Small,1962-08-23,Scout,0.663265306122449,0.0
318,Medium,1962-08-25,Molniya,0.08049886621315193,0.056188950657998046
319,Medium,1962-08-25,Molniya,0.08049886621315193,0.056188950657998046
324,Medium,1962-09-01,Molniya,0.08049886621315193,0.056188950657998046
325,Medium,1962-09-01,Molniya,0.08049886621315193,0.056188950657998046
329,Medium,1962-09-12,Molniya,0.08049886621315193,0.056188950657998046
336,Medium,1962-09-27,Vostok,0.040249433106575964,0.0721599296460316
347,Medium,1962-10-17,Vostok,0.040249433106575964,0.0721599296460316
350,Small,1962-10-20,Kosmos,0.07596371882086168,0.021640126888407298
351,Medium,1962-10-24,Molniya,0.08049886621315193,0.056188950657998046
352,Small,1962-10-25,Kosmos,0.07596371882086168,0.021640126888407298
356,Medium,1962-11-01,Molniya,0.08049886621315193,0.056188950657998046
357,Medium,1962-11-04,Molniya,0.08049886621315193,0.056188950657998046
358,Medium,1962-11-04,Molniya,0.08049886621315193,0.056188950657998046
383,Small,1962-12-16,Scout,0.663265306122449,0.0
388,Small,1962-12-19,Scout,0.663265306122449,0.0
389,Medium,1962-12-22,Vostok,0.040249433106575964,0.0721599296460316
390,Medium,1963-01-04,Molniya,0.08049886621315193,0.056188950657998046
391,Medium,1963-01-04,Molniya,0.08049886621315193,0.056188950657998046
396,Medium,1963-02-03,Molniya,0.08049886621315193,0.056188950657998046
397,Medium,1963-02-03,Molniya,0.08049886621315193,0.056188950657998046
399,Small,1963-02-19,Scout,0.663265306122449,0.0
407,Medium,1963-03-21,Vostok,0.040249433106575964,0.0721599296460316
410,Medium,1963-04-02,Molniya,0.08049886621315193,0.056188950657998046
411,Medium,1963-04-02,Molniya,0.08049886621315193,0.056188950657998046
413,Small,1963-04-05,Scout,0.663265306122449,0.0
