Vehicle / Vehicle Family,Cost to LEO (FY21$/kg),Max. Payload Mass to LEO (kg),Source(s),Notes,Additional Tags,,,,,,,,,,,Source #1,,,,,,,,,Source #2,,,,,,,,,Source #3,,,,,,,,,Source #4,,,,,,,,,Source #5,,,,,,,,,
Angara,4500,24500,Russian Space Web,,"Plesetsk Cosmodrome, Vostochny Cosmodrome, Naro Space Center, Khrunichev State Research and Production Space Center",Angara,#REF!,#REF!,#REF!,Russian Space Web,,,,,,Russian Space Web,4082,2015,Russian Space Web,95,105,2015,24500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antares,13600,6600,GAO (2017),,"Wallops Flight Facility, Orbital Sciences, Orbital ATK, Northrop Grumman, Taurus II",Antares,#REF!,#REF!,#REF!,GAO (2017),,,,,,GAO (2017),12500,2017,GAO (2017),80,85,2017,6600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane 2,,,,,"Arianespace, Guiana Space Centre, Ariane",Ariane 2,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane 3,,,,,"Arianespace, Guiana Space Centre, Ariane",Ariane 3,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane 40,,,,,"Arianespace, Guiana Space Centre, Ariane",Ariane 40,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane 42,,,,,"Arianespace, Guiana Space Centre, Ariane",Ariane 42,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane 44,18300,10200,"Xu, Hollingsworth, and Smith (2019)","Wertz and Larson estimate is labeled ""Ariane 44-LP."" Hammond estimate is labeled ""Ariane 4."" Xu, Hollingsworth, and Smith estimate is labeled ""Ariane 4.""","Arianespace, Guiana Space Centre, Ariane",Ariane 44,#REF!,#REF!,#REF!,Wertz and Larson (1996),Hammond (1999),"Xu, Hollingsworth, and Smith (2019)",,,,Wertz and Larson (1996),11400,1995,Wertz and Larson (1996),90,100,1995,8300,,Hammond (1999),10100,2000,Hammond (1999),179,,2000,17800,,"Xu, Hollingsworth, and Smith (2019)",15023,2010,"Xu, Hollingsworth, and Smith (2019)",153.23,,2010,10200,,,,,,,,,,,,,,,,,,,,
Ariane 5ECA,9200,21000,GAO (2017),,"Arianespace, Guiana Space Centre, Ariane",Ariane 5ECA,#REF!,#REF!,#REF!,GAO (2017),,,,,,GAO (2017),8476,2017,GAO (2017),178,,2017,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane 5ES,,,,,"Arianespace, Guiana Space Centre, Ariane",Ariane 5ES,#REF!,#REF!,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ariane 5G,10200,21000,"Xu, Hollingsworth, and Smith (2019)","Xu, Hollingsworth, and Smith estimate labeled ""Ariane 5G & 5E.""","Arianespace, Guiana Space Centre, Ariane",Ariane 5G,#REF!,#REF!,#REF!,Futron (2002),"Xu, Hollingsworth, and Smith (2019)",,,,,Futron (2002),9167,2000,Futron (2002),165,,2000,18000,,"Xu, Hollingsworth, and Smith (2019)",8380,2010,"Xu, Hollingsworth, and Smith (2019)",175.99,,2000,21000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
