#Launch_Tag,Launch_Date,Piece,Type,Name,PLName,JCAT,LV_Type,Flight_ID,Platform,Launch_Site,Launch_Pad,Ascent_Site,Ascent_Pad,Agency,Launch_Code,LTCite,price_per_kg,max_mass
1957 ALP,1957 Oct  4 1928:34,1957 ALP 2,P,1-y ISZ,PS-1,S00002,Sputnik 8K71PS,M1-PS,-,NIIP-5,LC1,-,-,MVS,OS,Energiya,NA,NA
1957 BET,1957 Nov  3 0230:42,1957 BET 1,P A,2-y ISZ,PS-2,S00003,Sputnik 8K71PS,M1-2PS,-,NIIP-5,LC1,-,-,MVS,OS,Grahn-WWW,NA,NA
1957-F01,1957 Dec  6 1644:35,1957-F01,P   F,Vanguard,Vanguard Test Satellite F,F00002,Vanguard,TV-3,-,CC,LC18A,-,-,NRL,OF,Vang-ER9948,948600,9
1958 ALP,1958 Feb  1 0347:56,1958 ALP,P A,Explorer I,Explorer 1,S00004,Jupiter C,RS-29    UE,-,CC,LC26A,-,-,ABMA,OS,JunoFam,NA,NA
1958-F01,1958 Feb  5 0733,1958-F01,P   F,Vanguard,Vanguard Test Satellite G,F00004,Vanguard,TV-3BU,-,CC,LC18A,-,-,NRL,OF,Vang-ER9955,948600,9
1958-F02,1958 Mar  5 1827:57,1958-F02,P   F,Explorer II,Explorer 2,F00006,Jupiter C,RS/CC-26 UV,-,CC,LC26A,-,-,ABMA,OF,JunoFam,NA,NA
1958 BET,1958 Mar 17 1215:41,1958 BET 2,P,Vanguard I,Vanguard Test Satellite H,S00005,Vanguard,TV-4,-,CC,LC18A,-,-,NRL,OS,SP-4202,948600,9
1958 GAM,1958 Mar 26 1738:03,1958 GAM,P A,Explorer III,Explorer 3,S00006,Jupiter C,RS-24    UT,-,CC,LC5,-,-,ABMA,OS,JunoFam,NA,NA
1958-F03,1958 Apr 27 0901,1958-F03,P   F,ISZ,D No. 1,F00008,Sputnik 8A91,B1-2,-,NIIP-5,LC1,-,-,MVS,OF,NezavB,NA,NA
1958-F04,1958 Apr 29 0253:00,1958-F04,P   F,Vanguard,X-ray satellite,F00011,Vanguard,TV-5,-,CC,LC18A,-,-,NRL,OF,Vang-ER10300,948600,9
1958 DEL,1958 May 15 0700:35,1958 DEL 2,P,3-y Sovetskiy ISZ,D No. 2,S00008,Sputnik 8A91,B1-1,-,NIIP-5,LC1,-,-,MVS,OS,NezavB,NA,NA
1958-F05,1958 May 28 0346:20,1958-F05,P   F,Vanguard,Lyman Alpha satellite,F00013,Vanguard,SLV-1,-,CC,LC18A,-,-,NRL,OF,Vang-ER10301,948600,9
1958-F06,1958 Jun 26 0500:52,1958-F06,P   F,Vanguard,X-ray satellite,F00015,Vanguard,SLV-2,-,CC,LC18A,-,-,NRL,OF,Vang-ER10302,948600,9
1958-F07,1958 Jul 25,1958-F07,P   F,NOTS 1,Diagnostic Payload 1,F00018,NOTS EV1,1,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958 EPS,1958 Jul 26 1500:57,1958 EPS,P A,Explorer IV,Explorer 4,S00009,Jupiter C,RS/CC-44 TT,-,CC,LC5,-,-,ABMA,OS,JunoFam,NA,NA
1958-F08,1958 Aug 12,1958-F08,P   F,NOTS 2,Diagnostic Payload 2,F00021,NOTS EV1,2,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958-F09,1958 Aug 17 1218,1958-F09,P   F,Pioneer Lunar Probe,Able I,F00023,Thor Able I,127,-,CC,LC17A,-,-,AFBMD,OF,NASA-5-25-59W-V3,NA,NA
1958-F10,1958 Aug 22,1958-F10,P   F,NOTS 3,Diagnostic Payload 3,F00027,NOTS EV1,3,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
1958-F11,1958 Aug 24 0617:22,1958-F11,P   F,Explorer V,Explorer 5,F00029,Jupiter C,RS/CC-47 HN,-,CC,LC5,-,-,ABMA,OF,JunoFam,NA,NA
1958-F12,1958 Aug 25,1958-F12,P   F,NOTS 4,Radiation Payload 1,F00032,NOTS EV1,4,F-4D-747,NOTS,RW03/21?,WTR,LP4,NOTS,OF,NOTS,NA,NA
