,Class of Orbit,Country of Operator/Owner,Operator/Owner,Users,Purpose,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Year of Launch,Expected Lifetime (yrs.),Contractor,Country of Contractor,Launch Site,Launch Vehicle
0,LEO,USA,Hera Systems,Commercial,Earth Observation,566.0,576.0,0.00151,36.9,96.08,22.0,2019,0.5,Hera Systems,USA,Satish Dhawan Space Centre,PSLV
1,LEO,United Kingdom,AAC Clyde Space,Commercial,Earth Observation,637.0,654.0,0.00151,98.0,95.0,4.0,2023,5.4,AAC Clyde Space,Sweden/UK/USA/Netherlands,Cape Canaveral,Falcon 9
2,LEO,Finland,Aalto University,Civil,Technology Development,497.0,517.0,0.00145,97.45,94.7,5.0,2017,2.0,Aalto University,Finland,Satish Dhawan Space Centre,PSLV
3,LEO,Denmark,University of Aalborg,Civil,Earth Observation,442.0,687.0,0.00151,98.2,95.9,1.0,2016,5.4,University of Aalborg,Denmark,Guiana Space Center,Soyuz-2.1a
4,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35778.0,35793.0,0.000178,0.08,1436.03,6330.0,2014,15.0,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA
5,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35700.0,35700.0,0.0,0.0,1436.1,1800.0,2016,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
6,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35788.0,35803.0,0.000178,0.1,1436.0,2000.0,2015,15.0,Boeing Satellite Systems,USA,Cape Canaveral,Falcon 9
7,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35780.0,35793.0,0.000154,0.01,1436.1,4143.0,2004,12.0,Space Systems/Loral,USA,Cape Canaveral,Atlas 3
8,GEO,Multinational,Asia Broadcast Satellite Ltd.,Commercial,Communications,35777.0,35794.0,0.000202,0.01,1436.08,2894.0,1999,15.0,Lockheed Martin,USA,Baikonur Cosmodrome,Proton
9,LEO,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,538.0,561.0,0.00166,97.5,95.5,9.0,2021,5.4,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a
10,LEO,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,539.0,599.0,0.00432,97.5,95.5,9.0,2021,5.4,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a
11,LEO,Israel,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Government,Technology Development,537.0,561.0,0.00173,97.5,95.5,9.0,2021,5.4,Asher Space Research Institute at Technion/Israeli Aircraft Industries,Israel,Baikonur Cosmodrome,Soyuz-2.1a
12,LEO,Austria,Austrian Space Forum (OEWF)/Spire,Civil,Earth Science,497.0,506.0,0.000655,97.4,95.0,12.0,2023,5.4,Spire Global,USA,Vandenberg AFB,Falcon 9
13,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,35700.0,35800.0,0.00119,0.0,1437.6,5400.0,2020,5.4,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
14,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,35560.0,36013.0,0.00537,7.72,1436.14,5200.0,1998,5.4,TRW Space and Electronics,USA,Cape Canaveral,Titan IVA
15,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,35589.0,35984.0,0.00468,3.2,1436.1,5200.0,2003,5.4,TRW Space and Electronics,USA,Cape Canaveral,Titan IV
16,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,35714.0,35937.0,0.00264,2.89,1438.8,5400.0,2009,5.4,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
17,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,35500.0,35500.0,0.0,0.0,1436.0,5000.0,2010,5.4,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
18,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,35771.0,35805.0,0.000403,0.0,1436.1,5000.0,2012,5.4,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
19,GEO,USA,National Reconnaissance Office (NRO),Military,Earth Observation,35613.0,35903.0,0.00344,7.51,1437.19,5000.0,2016,5.4,National Reconnaissance Laboratory (?),USA,Cape Canaveral,Delta 4 Heavy
20,GEO,USA,US Air Force,Military,Communications,35700.0,35803.0,0.00122,4.2,1436.1,6169.0,2013,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
21,GEO,USA,US Air Force,Military,Communications,35781.0,35790.0,0.000107,0.05,1436.1,6169.0,2018,5.4,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
22,GEO,USA,US Air Force,Military,Communications,35780.0,35810.0,0.000356,6.4,1436.2,6169.0,2019,5.4,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
23,GEO,USA,US Air Force ,Military,Communications,35780.0,35780.0,0.0,0.0,1436.0,6169.0,2020,5.4,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
24,GEO,USA,US Air Force,Military,Communications,35772.0,35801.0,0.000344,2.34,1436.1,6169.0,2012,14.0,Lockheed Martin Space Systems,USA,Cape Canaveral,Atlas 5
25,LEO,USA,Department of Homeland Security,Government,Technology Development,480.0,790.0,0.0221,0.02,97.4,3.0,2012,5.4,University of Southern California,USA,Vandenberg AFB,Atlas 5
26,LEO,ESA,European Space Agency (ESA),Government,Earth Observation,314.0,317.0,0.000224,96.7,92.4,1367.0,2018,3.0,Airbus Defense and Space,France/UK/Germany/Spain,Guiana Space Center,Vega
27,LEO,USA,Aerospace Corporation,Commercial,Technology Development,495.0,511.0,0.00116,85.03,94.6,4.0,2018,5.4,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
28,LEO,USA,Aerospace Corporation,Commercial,Technology Development,492.0,511.0,0.00138,85.3,94.6,4.0,2018,5.4,Aerospace Corporation,USA,Rocket Lab Launch Complex 1,Electron
29,LEO,USA,Aerospace Corporation,Commercial,Technology Development,481.0,487.0,0.000438,51.6,94.2,4.0,2018,5.4,Aerospace Corporation,USA,Cygnus,Nanorack Deployer
