,Perigee (km),Apogee (km),Eccentricity,Inclination (degrees),Period (minutes),Launch Mass (kg.),Expected Lifetime (yrs.)
0,566.0,576.0,0.00151,36.9,96.08,22.0,0.5
1,637.0,654.0,0.00151,98.0,95.0,4.0,5.4
2,497.0,517.0,0.00145,97.45,94.7,5.0,2.0
3,442.0,687.0,0.00151,98.2,95.9,1.0,5.4
4,35778.0,35793.0,0.000178,0.08,1436.03,6330.0,15.0
5,35700.0,35700.0,0.0,0.0,1436.1,1800.0,15.0
6,35788.0,35803.0,0.000178,0.1,1436.0,2000.0,15.0
7,35780.0,35793.0,0.000154,0.01,1436.1,4143.0,12.0
8,35777.0,35794.0,0.000202,0.01,1436.08,2894.0,15.0
9,538.0,561.0,0.00166,97.5,95.5,9.0,5.4
10,539.0,599.0,0.00432,97.5,95.5,9.0,5.4
11,537.0,561.0,0.00173,97.5,95.5,9.0,5.4
12,497.0,506.0,0.000655,97.4,95.0,12.0,5.4
13,35700.0,35800.0,0.00119,0.0,1437.6,5400.0,5.4
14,35560.0,36013.0,0.00537,7.72,1436.14,5200.0,5.4
15,35589.0,35984.0,0.00468,3.2,1436.1,5200.0,5.4
16,35714.0,35937.0,0.00264,2.89,1438.8,5400.0,5.4
17,35500.0,35500.0,0.0,0.0,1436.0,5000.0,5.4
18,35771.0,35805.0,0.000403,0.0,1436.1,5000.0,5.4
19,35613.0,35903.0,0.00344,7.51,1437.19,5000.0,5.4
20,35700.0,35803.0,0.00122,4.2,1436.1,6169.0,14.0
21,35781.0,35790.0,0.000107,0.05,1436.1,6169.0,5.4
22,35780.0,35810.0,0.000356,6.4,1436.2,6169.0,5.4
23,35780.0,35780.0,0.0,0.0,1436.0,6169.0,5.4
24,35772.0,35801.0,0.000344,2.34,1436.1,6169.0,14.0
25,480.0,790.0,0.0221,0.02,97.4,3.0,5.4
26,314.0,317.0,0.000224,96.7,92.4,1367.0,3.0
27,495.0,511.0,0.00116,85.03,94.6,4.0,5.4
28,492.0,511.0,0.00138,85.3,94.6,4.0,5.4
29,481.0,487.0,0.000438,51.6,94.2,4.0,5.4
30,481.0,487.0,0.000438,51.6,94.2,4.0,5.4
34,500.0,802.0,0.0215,64.78,97.74,2.0,5.4
35,614.0,700.0,0.00612,97.98,97.88,5.0,3.0
36,614.0,700.0,0.00612,97.98,97.88,5.0,3.0
37,500.0,802.0,0.0215,64.6,97.4,2.0,5.4
38,569.0,584.0,0.00108,97.9,96.2,5.0,5.4
39,572.0,584.0,0.000864,98.0,96.23,2.0,5.4
40,35764.0,35808.0,0.000522,0.12,1436.08,3460.0,15.0
41,609.0,613.0,0.000286,97.8,95.8,9.0,5.4
42,522.0,535.0,0.000942,97.5,95.2,9.0,5.4
43,544.0,552.0,0.000578,97.9,96.2,215.0,2.0
44,615.0,632.0,0.00122,98.0,97.2,6.0,3.0
45,625.0,631.0,0.000429,98.4,97.27,6.0,3.0
46,574.0,592.0,0.00129,97.8,96.4,3.0,5.4
47,490.0,506.0,0.00116,97.5,94.6,2.0,5.4
48,35777.0,35796.0,0.000225,0.0,1436.0,3795.0,15.0
49,573.0,589.0,0.00115,97.7,96.2,4.0,5.4
50,35744.0,35798.0,0.000641,0.04,1436.1,5225.0,15.0
51,397.0,414.0,0.00125,97.01,92.06,75.0,5.4
52,499.0,511.0,511.0,97.4,95.0,1.0,5.4
53,443.0,886.0,0.0315,120.3,98.0,5.0,5.4
54,661.0,704.0,0.00305,98.2,98.4,103.0,5.0
55,661.0,698.0,0.00262,98.2,98.3,10.0,5.4
56,672.0,674.0,0.000142,98.1,98.2,130.0,5.0
57,646.0,660.0,0.000997,98.2,97.7,117.0,5.0
58,35767.0,35805.0,0.000451,0.03,1436.08,5465.0,15.0
59,35781.0,35791.0,0.000119,0.03,1436.05,6265.0,15.0
60,35784.0,35795.0,0.00013,0.08,1436.24,2938.0,15.0
61,35785.0,35789.0,4.74e-05,0.04,1436.11,5900.0,15.0
62,35777.0,35797.0,0.000237,0.02,1436.15,4000.0,5.4
63,761.0,764.0,0.00021,98.5,99.9,637.0,4.0
64,35774.0,35797.0,0.000273,0.04,1436.07,2340.0,15.0
65,35777.0,35795.0,0.000213,0.04,1436.08,4200.0,15.0
66,35773.0,35800.0,0.00032,0.06,1436.1,2081.0,15.0
67,35778.0,35793.0,0.000178,3.0,1436.1,2500.0,15.0
68,35778.0,35795.0,0.000202,0.05,1436.12,3901.0,15.0
